oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG5236	KG	5236	UKSE06-470	SAMN03326402	Arabidopsis thaliana	51.2	0.4		Paddock Wood	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS78804			
OAKG5249	KG	5249	UKSE06-491	SAMN03326403	Arabidopsis thaliana	51.2	0.3		Sissinghurst Castle garden	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS79003			
OAKG5253	KG	5253	UKSE06-500	SAMN03326404	Arabidopsis thaliana	51.1	0.6		Sissinghurst Castle garden	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS78805			
OAKG5276	KG	5276	UKSE06-533	SAMN03326405	Arabidopsis thaliana	51.3	1.1		Cnt	UK	GBR	Eric Holub	2006-05-05 0:00:00		CS78806			
OAKG5279	KG	5279	UKSE06-541	SAMN03326406	Arabidopsis thaliana	51.3	1.1		Cnt	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS79004			
OAKG5349	KG	5349	UKSE06-639	SAMN03326407	Arabidopsis thaliana	51.1	0.4		Scotney Castle	UK	GBR	Eric Holub	2006-05-23 0:00:00		CS78807			
OAKG5353	KG	5353	UKNW06-003	SAMN03326408	Arabidopsis thaliana	54.5	-3		Dove Cottage,Wordsworth Trust, nr Grasmere	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS78792			
OAKG5395	KG	5395	UKNW06-102	SAMN03326409	Arabidopsis thaliana	54.4	-3		Outgate, east side	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS79005			
OAKG5486	KG	5486	UKNW06-233	SAMN03326410	Arabidopsis thaliana	54.6	-3.3		High Lorton	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS78794			
OAKG5577	KG	5577	UKNW06-403	SAMN03326411	Arabidopsis thaliana	54.7	-3.4		Cockermouth	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS78797			
OAKG5644	KG	5644	UKNW06-481	SAMN03326412	Arabidopsis thaliana	54.4	-2.9		Windemere	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS78798			
OAKG5651	KG	5651	UKNW06-488	SAMN03326413	Arabidopsis thaliana	54.4	-2.9		Windemere	UK	GBR	Eric Holub	2006-06-08 0:00:00		CS79006			
OAKG5717	KG	5717	Bra-1	SAMN03326414	Arabidopsis thaliana	54.6	-3.2		Braithwaite	UK	GBR	Eric Holub	1992-01-01 0:00:00		CS79007			
OAKG5718	KG	5718	UKID11	SAMN03326415	Arabidopsis thaliana	57	-3.4		Braemar	UK	GBR	Eric Holub	1992-01-01 0:00:00		CS79008			
OAKG5720	KG	5720	Cal-2	SAMN03326416	Arabidopsis thaliana	53.3	-1.6		Cal	UK	GBR	D. Ratcliffe	1954-01-01 0:00:00		CS78781			
OAKG5726	KG	5726	Cnt-1	SAMN03326417	Arabidopsis thaliana	51.3	1.1		Canterbury (Sullivan garden)	UK	GBR	Eric Holub	1992-01-01 0:00:00		CS78782			
OAKG5741	KG	5741	For-2	SAMN03326418	Arabidopsis thaliana	56.6	-4.1		Fortingall	UK	GBR	D. Ratcliffe	1959-01-01 0:00:00		CS78783			
OAKG5748	KG	5748	Kil-0	SAMN03326419	Arabidopsis thaliana	56	-4.4		Killearn	UK	GBR	D. Ratcliffe	1959-01-01 0:00:00		CS78784			
OAKG5757	KG	5757	Mc-1	SAMN03326420	Arabidopsis thaliana	54.6	-2.3		Mickells Fell	UK	GBR	D. Ratcliffe	1960-01-01 0:00:00		CS78785			
OAKG5768	KG	5768	UKID63	SAMN03326421	Arabidopsis thaliana	54.1	-1.5		Ripon	UK	GBR	Eric Holub	1992-01-01 0:00:00		CS78786			
OAKG5772	KG	5772	Set-1	SAMN03326422	Arabidopsis thaliana	54.1	-2.3		Settle	UK	GBR	D. Ratcliffe	1955-01-01 0:00:00		CS78787			
OAKG5776	KG	5776	UKID71	SAMN03326423	Arabidopsis thaliana	52.9	-1.3		Stanton-by-Dale	UK	GBR	Eric Holub	1992-01-01 0:00:00		CS79009			
